"filename", "language", "C++", "XML", "Log", "Markdown", "Ini", "JSON", "comment", "blank", "total"
"d:\C++\FakeWordMfc\.vs\FakeWordMfc\v17\DocumentLayout.json", "JSON", 0, 0, 0, 0, 0, 217, 0, 0, 217
"d:\C++\FakeWordMfc\FakeWordMfc\AppTypes.h", "C++", 69, 0, 0, 0, 0, 0, 8, 22, 99
"d:\C++\FakeWordMfc\FakeWordMfc\CSettingDialog.cpp", "C++", 72, 0, 0, 0, 0, 0, 11, 26, 109
"d:\C++\FakeWordMfc\FakeWordMfc\CSettingDialog.h", "C++", 82, 0, 0, 0, 0, 0, 8, 17, 107
"d:\C++\FakeWordMfc\FakeWordMfc\CStateBoxDlg.cpp", "C++", 21, 0, 0, 0, 0, 0, 4, 13, 38
"d:\C++\FakeWordMfc\FakeWordMfc\CStateBoxDlg.h", "C++", 46, 0, 0, 0, 0, 0, 3, 10, 59
"d:\C++\FakeWordMfc\FakeWordMfc\ComResultAndCatch.h", "C++", 134, 0, 0, 0, 0, 0, 3, 15, 152
"d:\C++\FakeWordMfc\FakeWordMfc\FakeWordMfc.cpp", "C++", 49, 0, 0, 0, 0, 0, 31, 28, 108
"d:\C++\FakeWordMfc\FakeWordMfc\FakeWordMfc.h", "C++", 14, 0, 0, 0, 0, 0, 7, 12, 33
"d:\C++\FakeWordMfc\FakeWordMfc\FakeWordMfc.vcxproj", "XML", 0, 240, 0, 0, 0, 0, 0, 0, 240
"d:\C++\FakeWordMfc\FakeWordMfc\FakeWordMfcDlg.cpp", "C++", 666, 0, 0, 0, 0, 0, 153, 86, 905
"d:\C++\FakeWordMfc\FakeWordMfc\FakeWordMfcDlg.h", "C++", 90, 0, 0, 0, 0, 0, 34, 24, 148
"d:\C++\FakeWordMfc\FakeWordMfc\IniConfigManager.cpp", "C++", 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\C++\FakeWordMfc\FakeWordMfc\IniConfigManager.h", "C++", 89, 0, 0, 0, 0, 0, 19, 17, 125
"d:\C++\FakeWordMfc\FakeWordMfc\StringProcess.cpp", "C++", 211, 0, 0, 0, 0, 0, 91, 12, 314
"d:\C++\FakeWordMfc\FakeWordMfc\StringProcess.h", "C++", 17, 0, 0, 0, 0, 0, 1, 4, 22
"d:\C++\FakeWordMfc\FakeWordMfc\TSFInterceptor.cpp", "C++", 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\C++\FakeWordMfc\FakeWordMfc\TSFInterceptor.h", "C++", 120, 0, 0, 0, 0, 0, 4, 22, 146
"d:\C++\FakeWordMfc\FakeWordMfc\TSFManager.cpp", "C++", 72, 0, 0, 0, 0, 0, 8, 18, 98
"d:\C++\FakeWordMfc\FakeWordMfc\TSFManager.h", "C++", 745, 0, 0, 0, 0, 0, 359, 113, 1217
"d:\C++\FakeWordMfc\FakeWordMfc\TextFileReader.cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 4, 43
"d:\C++\FakeWordMfc\FakeWordMfc\TextFileReader.h", "C++", 39, 0, 0, 0, 0, 0, 1, 8, 48
"d:\C++\FakeWordMfc\FakeWordMfc\UIAutomation.cpp", "C++", 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\C++\FakeWordMfc\FakeWordMfc\UIAutomation.h", "C++", 176, 0, 0, 0, 0, 0, 80, 35, 291
"d:\C++\FakeWordMfc\FakeWordMfc\WordController.cpp", "C++", 128, 0, 0, 0, 0, 0, 36, 11, 175
"d:\C++\FakeWordMfc\FakeWordMfc\WordController.h", "C++", 233, 0, 0, 0, 0, 0, 174, 37, 444
